state,abbr,2016_dem,2016_rep,2016_3rd,2012_dem,2012_rep,2012_3rd,2008_dem,2008_rep,2008_3rd,2004_rep,2004_dem,2004_3rd,2000_rep,2000_dem,2000_3rd,1996_dem,1996_rep,1996_3rd,1992_dem,1992_rep,1992_3rd,1988_rep,1988_dem,1988_3rd,1984_rep,1984_dem,1984_3rd,1980_rep,1980_dem,1980_3rd
Alabama,AL,34.33,62.18,3.49,38.4,60.5,1.1,38.7,60.3,1,62.5,36.8,0.7,56.5,41.6,1.9,43.2,50.1,6.7,40.9,47.6,11.5,59.2,39.9,0.9,60.5,38.3,1.2,48.8,47.4,3.8
Alaska,AK,36.39,51.57,12.04,40.8,54.8,4.4,37.9,59.4,2.7,61.1,35.5,3.4,58.6,27.7,13.7,33.3,50.8,15.9,30.3,39.5,30.2,59.6,36.3,4.1,66.7,29.9,3.4,54.3,26.4,19.3
Arizona,AZ,45.46,49.03,5.51,44.6,53.7,1.7,45.1,53.6,1.3,54.9,44.4,0.7,51,44.7,4.3,46.5,44.3,9.2,36.5,38.5,25,60,38.7,1.3,66.4,32.5,1.1,60.6,28.2,11.2
Arkansas,AR,33.66,60.57,5.77,36.9,60.6,2.5,38.9,58.7,2.4,54.3,44.5,1.2,51.3,45.9,2.8,53.7,36.8,9.5,53.2,35.5,11.3,56.4,42.2,1.4,60.5,38.3,1.2,48.1,47.5,4.4
California,CA,61.66,32.67,5.67,60.2,37.1,2.7,61,37,2,44.4,54.3,1.3,41.7,53.4,4.9,51.1,38.2,10.7,46,32.6,21.4,51.1,47.6,1.3,57.5,41.3,1.2,52.7,35.9,11.4
Colorado,CO,48.16,43.25,8.59,51.5,46.1,2.4,53.7,44.7,1.6,51.7,47,1.3,50.8,42.4,6.8,44.4,45.8,9.8,40.1,35.9,24,53.1,45.3,1.6,63.4,35.1,1.5,55.1,31.1,13.8
Connecticut,CT,54.54,40.98,4.48,58.1,40.7,1.2,60.6,38.2,1.2,43.9,54.3,1.8,38.4,55.9,5.7,52.8,34.7,12.5,42.2,35.8,22,52,46.9,1.1,60.7,38.8,0.5,48.2,38.5,13.3
Delaware,DE,53.4,41.9,4.7,58.6,40,1.4,61.9,36.9,1.2,45.8,53.3,0.9,41.9,55,3.1,51.8,36.6,11.6,43.5,35.3,21.2,55.9,43.5,0.6,59.8,39.9,0.3,47.2,44.8,8
Florida,FL,47.8,49,3.2,50,49.1,0.9,51,48.2,0.8,52.1,47.1,0.8,48.8,48.8,2.4,48,42.3,9.7,39,40.9,20.1,60.9,38.5,0.6,65.3,34.7,0,55.5,38.5,6
Georgia,GA,45.9,51,3.1,45.5,53.3,1.2,47,52.2,0.8,58,41.4,0.6,54.7,43,2.3,45.8,47,7.2,43.5,42.9,13.6,59.8,39.5,0.7,60.2,39.8,0,41,55.8,3.2
Hawaii,HI,61,29.4,9.6,70.5,27.8,1.7,71.8,26.6,1.6,45.3,54,0.7,37.5,55.8,6.7,56.9,31.6,11.5,48.1,36.7,15.2,44.8,54.3,0.9,55.1,43.8,1.1,42.9,44.8,12.3
Idaho,ID,27.5,59.27,13.23,32.6,64.5,2.9,36.1,61.5,2.4,68.4,30.3,1.3,67.2,27.6,5.2,33.6,52.2,14.2,28.4,42,29.6,62.1,36,1.9,72.4,26.4,1.2,66.5,25.2,8.3
Illinois,IL,55.35,38.71,5.94,57.6,40.7,1.7,61.9,36.8,1.3,44.5,54.8,0.7,42.6,54.6,2.8,54.3,36.8,8.9,48.6,34.3,17.1,50.7,48.6,0.7,56.2,43.3,0.5,49.6,41.7,8.7
Indiana,IN,37.94,56.95,5.11,43.9,54.1,2,49.9,48.9,1.2,59.9,39.3,0.8,56.6,41,2.4,41.6,47.1,11.3,36.8,42.9,20.3,59.8,39.7,0.5,61.7,37.7,0.6,56,37.7,6.3
Iowa,IA,41.74,51.15,7.11,52,46.2,1.8,53.7,44.2,2.1,49.9,49.2,0.9,48.2,48.5,3.3,50.3,39.9,9.8,43.3,37.3,19.4,44.5,54.7,0.8,53.3,45.9,0.8,51.3,38.6,10.1
Kansas,KS,36.16,57.19,6.65,38,59.7,2.3,41.7,56.6,1.7,62,36.6,1.4,58,37.2,4.8,36.1,54.3,9.6,33.7,38.9,27.4,55.8,42.6,1.6,66.3,32.6,1.1,57.9,33.3,8.8
Kentucky,KY,32.7,62.5,4.8,37.8,60.5,1.7,41.2,57.4,1.4,59.5,39.7,0.8,56.5,41.4,2.1,45.8,44.9,9.3,44.6,41.3,14.1,55.5,43.9,0.6,60,39.4,0.6,49.1,47.6,3.3
Louisiana,LA,38.4,58.1,3.5,40.6,57.8,1.6,39.9,58.6,1.5,56.7,42.2,1.1,52.6,44.9,2.5,52,39.9,8.1,45.6,41,13.4,54.3,44.1,1.6,60.8,38.2,1,51.2,45.7,3.1
Maine,ME,47.85,45.15,7,56.3,41,2.7,57.7,40.4,1.9,44.6,53.6,1.8,44,49.1,6.9,51.6,30.8,17.6,38.8,30.4,30.8,55.3,43.9,0.8,60.8,38.8,0.4,45.6,42.3,12.1
Maryland,MD,59.77,34.52,5.71,62,35.9,2.1,61.9,36.5,1.6,42.9,55.9,1.2,40.3,56.5,3.2,54.3,38.3,7.4,49.8,35.6,14.6,51.1,48.2,0.7,52.5,47,0.5,44.2,47.1,8.7
Massachusetts,MA,60.8,33.52,5.68,60.7,37.5,1.8,61.8,36,2.2,36.8,61.9,1.3,32.5,59.8,7.7,61.5,28.1,10.4,47.5,29,23.5,45.4,53.2,1.4,51.2,48.4,0.4,41.9,41.7,16.4
Michigan,MI,47.13,47.4,5.47,54.2,44.7,1.1,57.4,41,1.6,47.8,51.2,1,46.1,51.3,2.6,51.7,38.5,9.8,43.8,36.4,19.8,53.6,45.7,0.7,59.2,40.2,0.6,49,42.5,8.5
Minnesota,MN,46.45,44.93,8.62,52.7,45,2.3,54.1,43.8,2.1,47.6,51.1,1.3,45.5,47.9,6.6,51.1,35,13.9,43.5,31.9,24.6,45.9,52.9,1.2,49.5,49.7,0.8,42.6,46.5,10.9
Mississippi,MS,40.06,57.86,2.08,43.8,55.3,0.9,43,56.2,0.8,59.5,39.8,0.7,57.6,40.7,1.7,44.1,49.2,6.7,40.8,49.7,9.5,59.9,39.1,1,61.9,37.4,0.7,49.4,48.1,2.5
Missouri,MO,37.99,57.11,4.9,44.4,53.8,1.8,49.3,49.4,1.3,53.3,46.1,0.6,50.4,47.1,2.5,47.5,41.2,11.3,44.1,33.9,22,51.8,47.8,0.4,60,40,0,51.2,44.3,4.5
Montana,MT,35.94,56.47,7.59,41.7,55.4,2.9,47.3,49.5,3.2,59.1,38.6,2.3,58.4,33.4,8.2,41.3,44.1,14.6,37.6,35.1,27.3,52.1,46.2,1.7,60.5,38.2,1.3,56.8,32.4,10.8
Nebraska,NE,34.1,60.16,5.74,38,59.8,2.2,41.6,56.5,1.9,65.9,32.7,1.4,62.2,33.3,4.5,35,53.7,11.3,29.4,46.6,24,60.2,39.2,0.6,70.6,28.8,0.6,65.5,26,8.5
Nevada,NV,47.9,45.5,6.6,52.4,45.7,1.9,55.1,42.7,2.2,50.5,47.9,1.6,49.5,46,4.5,43.9,42.9,13.2,37.4,34.7,27.9,58.9,37.9,3.2,65.8,32,2.2,62.5,26.9,10.6
New Hampshire,NH,46.83,46.47,6.7,52,46.5,1.5,54.4,44.7,0.9,48.9,50.2,0.9,48.1,46.8,5.1,49.3,39.4,11.3,38.9,37.6,23.5,62.4,36.3,1.3,68.6,30.9,0.5,57.7,28.4,13.9
New Jersey,NJ,54.72,41.26,4.02,58.3,40.6,1.1,57.3,41.7,1,46.2,52.9,0.9,40.3,56.1,3.6,53.7,35.9,10.4,43,40.6,16.4,56.2,42.6,1.2,60.1,39.2,0.7,52,38.6,9.4
New Mexico,NM,48.25,40.05,11.7,53,42.8,4.2,56.9,41.8,1.3,49.8,49,1.2,47.8,47.9,4.3,49.2,41.9,8.9,45.9,37.3,16.8,51.9,46.9,1.2,59.7,39.2,1.1,54.9,36.7,8.4
New York,NY,58.34,37.11,4.55,63.4,35.2,1.4,62.8,36.1,1.1,40.1,58.4,1.5,35.2,60.2,4.6,59.5,30.6,9.9,49.7,33.9,16.4,47.5,51.6,0.9,53.8,45.8,0.4,46.7,44,9.3
North Carolina,NC,46.14,49.88,3.98,48.4,50.4,1.2,49.7,49.4,0.9,56,43.6,0.4,56,43.2,0.8,44,48.7,7.3,42.7,43.4,13.9,58,41.7,0.3,61.9,37.9,0.2,49.3,47.2,3.5
North Dakota,ND,27.2,63,9.8,38.7,58.3,3,44.6,53.3,2.1,62.9,35.5,1.6,60.7,33.1,6.2,40.1,46.9,13,32.2,44.2,23.6,56,43,1,64.8,33.8,1.4,64.2,26.3,9.5
Ohio,OH,43.07,51.52,5.41,50.7,47.7,1.6,51.5,46.9,1.6,50.8,48.7,0.5,50,46.4,3.6,47.4,41,11.6,40.2,38.3,21.5,55,44.1,0.9,58.9,40.1,1,51.5,40.9,7.6
Oklahoma,OK,28.9,65.3,5.8,33.2,66.8,0,34.4,65.6,0,65.6,34.4,0,60.3,38.4,1.3,40.4,48.3,11.3,34,42.6,23.4,57.9,41.3,0.8,68.6,30.7,0.7,60.5,35,4.5
Oregon,OR,50.1,39.11,10.79,54.2,42.1,3.7,56.7,40.4,2.9,47.2,51.3,1.5,46.5,47,6.5,47.2,39.1,13.7,42.5,32.5,25,46.6,51.3,2.1,55.9,43.7,0.4,48.3,38.7,13
Pennsylvania,PA,47.31,48.4,4.29,52.1,46.7,1.2,54.3,44,1.7,48.4,50.9,0.7,46.4,50.6,3,49.2,40,10.8,45.1,36.1,18.8,50.7,48.4,0.9,53.3,46,0.7,49.6,42.5,7.9
Rhode Island,RI,54.36,38.94,6.7,62.7,35.2,2.1,63.1,35.2,1.7,38.7,59.4,1.9,31.9,61,7.1,59.7,26.8,13.5,47,29,24,43.9,55.6,0.5,51.7,48,0.3,37.2,47.7,15.1
South Carolina,SC,40.7,54.9,4.4,44.1,54.6,1.3,44.9,53.9,1.2,58,40.9,1.1,56.8,40.9,2.3,44,49.8,6.2,39.9,48,12.1,61.5,37.6,0.9,63.6,35.6,0.8,49.4,48.1,2.5
South Dakota,SD,31.74,61.53,6.73,39.9,57.9,2.2,44.7,53.2,2.1,59.9,38.4,1.7,60.3,37.6,2.1,43,46.5,10.5,37.1,40.7,22.2,52.8,46.5,0.7,63,36.5,0.5,60.5,31.7,7.8
Tennessee,TN,34.9,61.07,4.03,39.1,59.5,1.4,41.8,56.9,1.3,56.8,42.5,0.7,51.1,47.3,1.6,48,45.6,6.4,47.1,42.4,10.5,57.9,41.5,0.6,57.8,41.6,0.6,48.7,48.4,2.9
Texas,TX,43.3,52.43,4.27,41.4,57.2,1.4,43.7,55.5,0.8,61.1,38.2,0.7,59.3,38,2.7,43.8,48.8,7.4,37.1,40.6,22.3,56,43.3,0.7,63.6,36.1,0.3,55.3,41.4,3.3
